Unnamed: 0,wearable id,activation date,notified EOS,Hours Recorded,Submitted Q,segundos_usando_devive,dias_usando_devive,rows_to_split
,W001,2021-04-20,2021-05-11,102.555,9,1814400.0,21 days,54432000
,W007,2021-03-08,2021-03-29,463.4138,7,1814400.0,21 days,54432000
,W010,2021-02-18,2021-03-03,293.589,5,1123200.0,13 days,33696000
,W011,2021-05-17,2021-06-07,332.164,7,1814400.0,21 days,54432000
,W013,2021-05-20,2021-06-10,491.55,9,1814400.0,21 days,54432000
,W014,2021-05-14,2021-06-04,490.7695,9,1814400.0,21 days,54432000
,W015,2021-05-25,2021-06-15,316.5,0,1814400.0,21 days,54432000
,W016,2021-05-14,2021-06-04,486.57133333,9,1814400.0,21 days,54432000
,W017,2021-05-28,2021-06-18,466.31916667,4,1814400.0,21 days,54432000
,W018,2021-05-20,2021-06-10,462.238167,7,1814400.0,21 days,54432000
